ID_Client,ID_Shop,Sex,Marital_Status,Age,FLAG_RESIDENCIAL_PHONE,AREA_CODE_RESIDENCIAL_PHONE,PAYMENT_DAY,SHOP_RANK,RESIDENCE_TYPE,MONTHS_IN_RESIDENCE,FLAG_MOTHERS_NAME,FLAG_FATHERS_NAME,FLAG_RESIDENCE_TOWN_WORKING_TOWN,FLAG_RESIDENCE_STATE_WORKING_STATE,MONTHS_IN_THE_JOB,PROFESSION_CODE,MATE_INCOME,FLAG_RESIDENCIAL_ADDRESS_POSTAL_ADDRESS,PERSONAL_NET_INCOME,QUANT_ADDITIONAL_CARDS_IN_THE_APPLICATION,TARGET_LABEL_BAD
21,9,0,0,26,1,5,18,0,1,264,1,1,0,1,36,79,0.0,1,490.0,0,1
22,1,0,0,17,0,50,12,0,0,12,1,1,0,1,12,38,0.0,1,426.0,0,1
23,19,1,0,20,1,31,28,0,3,120,1,1,0,1,0,999,0.0,1,500.0,0,0
24,21,1,3,46,1,31,8,0,0,48,1,1,1,1,192,999,0.0,1,3100.0,0,0
25,25,1,0,41,1,50,8,0,3,12,1,1,1,1,120,34,0.0,1,1175.0,0,0
26,12,0,3,20,1,50,12,0,3,12,1,1,1,1,24,39,0.0,1,285.0,0,1
27,20,1,1,64,1,50,3,0,0,12,1,1,1,1,60,72,0.0,1,700.0,1,1
28,15,1,1,71,1,31,18,0,0,96,1,1,0,1,12,13,0.0,1,180.0,0,0
29,14,1,3,33,1,31,12,0,3,396,1,1,1,1,48,26,0.0,1,260.0,0,0
30,1,1,3,46,1,31,8,0,3,72,1,1,0,1,12,801,0.0,1,442.0,0,0
31,12,0,0,24,0,31,20,0,3,240,1,1,1,1,12,30,0.0,1,313.0,0,0
32,12,1,3,23,0,31,18,0,3,276,1,1,1,1,0,999,0.0,1,280.0,0,1
33,6,1,0,36,0,50,8,0,3,240,1,1,0,1,12,713,0.0,1,250.0,0,0
34,3,1,3,40,1,31,28,0,3,24,1,1,1,1,0,305,0.0,1,1000.0,0,0
35,55,1,3,23,1,50,12,0,3,36,1,1,1,1,24,653,0.0,1,390.0,0,0
36,12,1,3,27,1,31,23,0,3,24,1,1,1,1,12,72,0.0,1,350.0,0,0
37,25,0,3,18,1,31,23,0,3,228,1,1,0,1,0,950,0.0,1,800.0,0,1
38,24,1,2,31,0,50,28,0,3,168,1,1,1,1,72,801,0.0,1,451.0,0,0
39,12,1,3,24,1,31,1,0,3,96,1,1,0,1,0,261,0.0,1,700.0,0,1
40,23,1,2,30,1,31,12,0,2,240,1,1,0,1,60,43,0.0,1,300.0,0,1
41,20,1,3,21,1,31,8,0,1,252,1,1,1,1,36,40,0.0,1,295.0,0,0
42,55,1,3,39,1,31,18,0,0,24,1,1,1,1,0,205,0.0,1,220.0,0,0
43,22,0,0,55,1,31,8,0,3,72,1,1,0,1,12,13,0.0,1,1174.0,0,0
44,7,0,3,26,1,5,20,0,3,84,1,1,0,1,12,301,0.0,1,195.0,0,1
45,11,0,1,26,0,31,12,0,3,120,1,1,1,1,0,999,0.0,1,2701.0,0,0
46,23,1,3,66,1,31,12,0,3,48,1,1,1,1,288,918,0.0,1,365.0,0,0
47,20,0,3,23,0,50,3,0,2,12,1,1,1,1,24,251,0.0,1,355.0,0,0
48,66,1,0,31,1,31,3,0,3,360,1,1,0,1,0,720,1200.0,1,840.0,0,0
49,3,1,3,18,1,50,12,0,3,96,1,1,0,1,12,205,0.0,1,350.0,0,1
50,24,1,0,43,1,31,18,0,0,96,1,1,0,1,240,501,0.0,1,350.0,0,0
51,25,1,3,34,0,31,28,0,3,120,1,1,1,1,24,205,0.0,1,500.0,0,0
52,24,1,3,23,1,50,18,0,3,276,1,1,0,1,24,950,0.0,1,300.0,0,0
53,6,1,2,17,1,34,12,0,3,216,1,1,1,1,24,62,0.0,1,200.0,0,1
54,9,1,3,40,1,5,25,0,3,0,1,1,1,1,24,210,0.0,1,331.0,0,0
55,6,1,3,35,0,50,25,0,0,12,1,1,0,1,36,703,0.0,1,400.0,0,1
56,23,1,3,19,1,31,12,0,0,12,1,0,1,1,12,205,0.0,1,372.0,0,0
57,20,1,3,42,1,31,12,0,0,60,1,1,1,1,36,999,0.0,1,472.0,0,0
58,19,1,3,32,1,31,1,0,3,120,1,1,1,1,12,999,0.0,1,733.0,0,0
59,23,0,3,20,1,31,8,0,3,24,1,1,1,1,12,999,0.0,1,545.0,1,0
60,3,1,0,53,1,31,18,0,3,240,1,1,0,1,36,950,0.0,1,300.0,0,0
61,13,1,3,23,1,31,22,0,3,72,1,1,0,1,24,53,0.0,1,375.0,0,0
62,55,1,3,21,0,31,25,0,2,216,1,1,0,1,0,24,0.0,1,292.0,0,0
63,55,1,3,62,1,31,12,0,3,300,1,1,0,1,48,13,0.0,1,380.0,0,0
64,25,1,0,32,1,31,1,0,3,96,1,1,1,1,24,41,0.0,1,1805.0,0,0
65,20,0,3,19,1,31,12,0,3,12,1,1,1,1,12,999,0.0,1,240.0,0,1
66,24,1,3,21,1,31,8,0,0,0,1,1,1,1,12,40,0.0,1,410.0,0,0
67,1,1,2,38,0,50,12,0,3,144,1,0,1,1,108,205,0.0,1,180.0,0,0
68,25,1,3,45,1,31,18,0,2,84,1,1,1,1,84,307,0.0,1,700.0,0,0
69,12,0,3,19,0,50,18,0,3,228,1,1,0,1,0,702,0.0,1,200.0,0,1
70,22,1,3,18,1,31,12,0,0,12,1,1,1,1,12,801,0.0,1,197.0,0,0
71,19,1,0,50,1,31,28,0,3,408,1,1,0,1,0,999,0.0,1,2000.0,0,0
72,55,0,0,39,1,50,12,0,3,60,1,1,1,1,120,999,0.0,1,815.0,0,0
73,14,1,0,75,1,31,8,0,3,48,1,1,0,1,0,2,0.0,1,3900.0,0,0
74,17,1,0,38,1,31,12,0,3,96,1,1,0,1,12,999,0.0,1,200.0,0,0
75,20,1,0,58,1,31,18,0,0,108,1,1,0,1,120,13,0.0,1,180.0,0,0
76,21,1,0,40,1,31,12,0,2,156,1,1,1,1,144,131,1000.0,1,400.0,0,0
77,8,1,3,23,1,31,12,0,3,216,1,1,0,1,12,992,0.0,1,210.0,0,1
78,22,0,3,24,1,31,3,0,3,288,1,1,0,1,24,520,0.0,1,355.0,0,0
79,10,1,0,23,1,31,23,0,3,216,1,1,1,1,12,40,0.0,1,277.0,0,0
80,10,1,3,24,1,31,18,0,3,36,1,1,1,1,0,30,0.0,1,240.0,0,0
81,3,0,0,32,1,31,8,0,0,48,1,1,0,1,168,514,890.0,1,1000.0,0,1
82,55,1,0,53,1,23,18,0,3,360,1,1,0,1,180,13,0.0,1,333.0,0,0
83,55,1,4,62,1,31,8,0,3,360,1,1,0,1,0,13,0.0,1,470.0,0,0
84,15,0,3,19,1,31,20,0,3,60,1,1,1,1,48,39,0.0,1,154.0,0,0
85,21,1,0,45,1,31,8,0,3,240,1,0,1,1,276,999,0.0,1,542.0,0,0
86,11,1,1,38,1,31,8,0,3,72,1,1,1,1,12,1,0.0,1,21193.0,0,0
87,20,1,0,58,1,31,25,0,0,12,1,1,1,1,12,132,0.0,1,1875.0,0,0
88,18,0,0,34,0,50,28,0,0,12,1,1,1,1,12,40,0.0,1,250.0,0,0
89,25,1,0,41,1,31,18,0,0,12,1,1,0,1,240,501,0.0,1,200.0,0,0
90,16,1,3,20,1,31,28,0,0,24,1,1,0,1,0,950,0.0,1,350.0,0,0
91,10,0,3,20,1,50,8,0,1,216,1,1,1,1,24,514,0.0,1,764.0,1,0
92,21,1,3,34,0,31,12,0,0,24,1,1,1,1,168,205,0.0,0,400.0,0,0
93,24,1,3,19,1,50,12,0,1,36,1,0,1,1,12,61,0.0,1,200.0,0,1
94,24,0,0,41,1,50,20,0,3,180,1,1,0,1,24,865,0.0,1,800.0,1,1
95,16,0,0,50,1,31,3,0,3,240,1,1,0,1,324,158,0.0,1,1518.0,1,0
96,21,0,3,44,1,31,25,0,3,60,1,1,1,1,60,100,0.0,0,1000.0,0,0
97,17,1,3,38,1,31,12,0,3,288,1,1,0,1,12,263,0.0,1,700.0,0,1
98,4,0,3,23,1,31,20,0,1,252,1,1,1,1,12,950,0.0,1,296.0,0,1
99,22,1,3,19,1,31,1,0,1,228,1,1,1,1,0,30,0.0,1,340.0,0,0
100,2,1,3,21,1,31,1,0,3,12,1,1,1,1,0,60,0.0,1,180.0,0,0
101,55,1,3,26,1,31,25,0,3,120,1,1,0,1,0,953,0.0,1,400.0,0,1
102,12,1,0,57,0,31,18,0,3,36,1,1,0,1,0,703,0.0,1,519.0,0,0
103,8,1,4,49,1,31,18,0,3,120,1,1,0,1,0,703,0.0,1,336.0,0,0
104,5,1,4,61,1,5,20,0,3,240,1,1,0,1,0,703,0.0,1,1600.0,0,0
105,15,1,3,19,1,31,28,0,3,228,1,1,1,1,12,999,0.0,1,219.0,0,1
106,7,0,0,26,1,5,18,0,3,36,1,1,1,1,36,70,0.0,1,2000.0,1,0
107,25,0,3,28,1,31,1,0,0,12,1,0,1,1,12,999,0.0,1,1029.0,0,0
108,13,1,3,28,1,31,12,0,3,24,1,1,0,1,24,992,0.0,1,1000.0,0,0
109,15,0,0,56,1,31,12,0,3,300,1,1,0,1,12,13,0.0,1,306.0,0,0
110,20,1,3,20,1,31,8,0,3,48,1,1,1,1,12,855,0.0,1,244.0,0,1
111,1,0,2,28,0,50,8,0,3,336,1,1,0,1,12,110,0.0,1,450.0,0,0
112,24,1,0,45,1,31,3,0,3,180,1,1,0,1,0,720,996.0,1,996.0,0,0
113,20,1,0,45,1,31,12,0,3,36,1,1,1,1,36,24,0.0,1,465.0,0,0
114,25,0,3,22,1,31,12,0,3,120,1,1,1,1,12,213,0.0,1,400.0,0,1
115,25,1,3,38,1,31,8,0,0,72,1,1,1,1,168,807,0.0,1,300.0,0,0
116,11,1,0,30,1,31,8,0,2,48,1,1,1,1,24,717,0.0,1,1600.0,0,0
117,19,1,0,51,1,31,8,0,3,24,1,1,0,1,0,704,0.0,1,452.0,0,0
118,25,1,3,37,1,31,18,0,3,156,1,1,1,1,108,999,0.0,1,380.0,0,0
119,15,1,0,55,1,31,18,0,3,336,1,1,0,1,0,656,0.0,1,0.0,0,0
120,25,1,0,48,1,31,8,0,3,156,1,1,1,1,204,999,0.0,1,1300.0,1,0
121,25,0,2,64,1,31,8,0,3,36,1,1,0,1,48,38,0.0,0,458.0,0,0
122,23,1,1,41,1,31,12,0,3,36,1,1,1,1,72,712,0.0,1,820.0,0,0
123,22,1,0,36,1,50,3,0,3,132,1,1,0,1,60,950,1200.0,1,500.0,1,0
124,25,1,3,52,1,31,12,0,3,360,1,1,1,1,252,251,0.0,1,400.0,0,0
125,13,0,0,31,1,31,28,0,3,372,1,1,0,1,0,721,0.0,1,800.0,0,1
126,25,0,3,18,0,50,8,0,3,216,1,1,0,1,36,24,0.0,1,280.0,0,0
127,25,1,0,52,1,5,8,0,3,300,1,1,0,1,60,13,0.0,1,1399.0,0,0
128,9,1,0,41,1,5,12,0,3,84,1,1,0,1,0,720,3200.0,1,0.0,0,0
129,25,0,3,18,1,50,20,0,3,120,1,1,0,1,60,865,0.0,1,600.0,0,0
130,21,1,3,37,1,31,1,0,3,360,1,1,1,1,60,999,0.0,1,420.0,0,0
131,24,1,3,19,1,31,12,0,1,228,1,1,1,1,12,46,0.0,1,381.0,0,0
132,12,0,3,25,1,31,3,0,3,120,1,1,0,1,0,992,0.0,1,598.0,2,0
133,1,1,3,50,1,50,3,0,3,60,1,1,1,1,300,305,0.0,1,2326.0,2,0
134,25,1,4,46,1,50,18,0,3,192,1,1,0,1,84,703,0.0,1,656.0,0,0
135,25,1,0,34,1,31,3,0,0,72,1,1,0,1,132,24,0.0,0,692.0,1,0
136,66,1,2,51,1,31,12,0,3,492,1,1,0,1,36,950,0.0,1,400.0,0,1
137,10,0,0,57,1,31,8,0,3,120,1,1,1,1,240,514,0.0,1,4000.0,1,0
138,3,0,0,64,1,31,8,0,3,108,1,1,0,1,96,707,0.0,1,449.0,1,0
139,55,1,3,36,1,31,18,0,3,24,1,1,0,1,48,950,0.0,1,550.0,0,0
140,16,1,3,34,0,31,28,0,1,60,1,1,0,1,84,205,0.0,1,540.0,0,0
141,20,0,3,19,0,50,12,0,3,180,1,1,1,1,12,63,0.0,1,182.0,0,0
142,10,0,0,43,1,31,3,0,3,60,1,1,1,1,48,863,0.0,1,1300.0,1,0
143,16,0,3,21,1,31,12,0,3,252,1,1,1,1,12,24,0.0,1,474.0,0,1
144,17,0,4,50,1,31,20,0,3,12,1,1,0,1,36,999,0.0,1,1600.0,0,1
145,12,0,3,49,0,31,25,0,3,60,1,1,0,1,0,13,0.0,1,502.0,1,0
146,11,0,3,32,0,50,18,0,2,12,1,1,1,1,24,26,0.0,1,226.0,0,0
147,24,1,1,62,1,31,25,0,3,360,1,1,0,1,12,13,0.0,1,727.0,0,0
148,13,1,3,22,1,31,28,0,3,264,1,1,0,1,0,100,0.0,1,380.0,0,0
149,3,1,0,19,1,31,12,0,3,144,1,1,1,1,0,999,0.0,1,701.0,1,0
150,1,1,3,20,1,31,3,0,1,240,1,0,0,1,12,806,0.0,1,309.0,0,0
151,25,0,3,22,0,50,8,0,0,24,1,1,1,1,0,999,0.0,1,202.0,0,0
152,8,0,3,22,1,31,8,0,3,264,1,1,0,1,12,118,0.0,1,350.0,0,0
153,7,0,3,21,1,5,20,0,3,228,1,1,1,1,12,806,0.0,1,300.0,0,1
154,25,1,3,36,1,50,12,0,0,36,1,1,1,1,24,125,0.0,1,2164.0,0,1
155,3,1,0,55,1,31,1,0,0,36,1,0,0,1,180,131,0.0,1,1200.0,0,1
156,55,1,3,47,1,31,12,0,3,456,1,1,0,1,36,13,0.0,1,1030.0,0,0
157,22,1,3,18,0,50,25,0,3,156,1,0,1,1,12,806,0.0,1,293.0,0,0
158,12,0,3,21,1,31,8,0,3,60,1,1,1,1,12,265,0.0,1,296.0,0,0
159,17,1,3,24,1,31,8,0,0,12,1,1,0,1,12,205,0.0,1,500.0,0,0
160,21,1,3,36,1,31,12,0,2,180,1,1,1,1,180,40,0.0,0,382.0,0,0
161,6,1,3,36,1,5,20,0,3,384,1,1,0,1,24,950,0.0,1,180.0,0,0
162,22,0,3,27,0,50,18,0,3,48,1,1,1,1,24,999,0.0,1,575.0,0,1
163,55,1,3,28,0,50,12,0,0,12,1,1,1,1,24,801,0.0,1,700.0,0,0
164,9,1,3,45,1,5,12,0,0,120,1,1,1,1,216,117,0.0,1,2000.0,0,0
165,15,1,0,40,1,31,8,0,3,36,1,0,1,1,12,855,0.0,1,291.0,0,0
166,25,0,2,30,1,31,12,0,3,12,1,1,1,1,0,992,0.0,1,270.0,0,0
167,16,0,3,21,1,31,28,0,0,36,1,1,0,1,12,707,0.0,1,378.0,0,0
168,25,1,3,27,1,31,12,0,3,36,1,1,0,1,0,654,0.0,1,669.0,0,1
169,25,1,3,31,1,31,18,0,3,240,1,1,0,1,36,999,0.0,1,1520.0,2,0
170,22,0,0,74,0,50,8,0,3,360,1,1,0,1,12,13,0.0,1,1316.0,1,1
171,11,1,0,47,1,31,18,0,3,60,1,1,0,1,60,117,0.0,1,2500.0,0,0
172,55,0,0,24,1,31,23,0,3,96,1,1,1,1,60,110,460.0,1,476.0,1,0
173,55,1,3,34,1,31,3,0,3,240,1,1,0,1,48,13,0.0,1,250.0,0,1
174,55,1,3,23,1,31,25,0,1,24,1,1,1,1,12,266,0.0,1,450.0,0,0
175,20,1,1,57,1,31,12,0,3,276,1,1,0,1,0,13,0.0,1,2200.0,0,0
176,25,0,0,31,0,50,18,0,3,36,1,1,1,1,0,953,0.0,1,705.0,0,0
177,22,1,2,35,1,31,28,0,3,120,1,1,0,1,216,950,0.0,1,2500.0,0,0
178,6,1,0,31,0,50,1,0,3,12,1,1,1,1,12,251,200.0,1,180.0,0,0
179,7,0,0,43,1,5,18,0,3,72,1,1,0,1,216,514,0.0,1,1050.0,0,0
180,55,1,3,19,0,50,20,0,2,24,1,1,1,1,12,61,0.0,0,500.0,0,1
181,17,1,3,22,1,31,25,0,3,120,1,1,0,1,36,61,0.0,1,350.0,0,0
182,3,0,0,65,1,31,12,0,3,324,1,1,0,1,36,13,0.0,1,180.0,0,0
183,7,0,3,20,1,1,3,0,1,240,1,1,0,0,24,514,0.0,0,350.0,0,0
184,22,0,0,38,1,31,20,0,3,60,1,1,0,1,36,167,0.0,1,962.0,1,1
185,8,1,3,38,1,31,8,0,3,36,1,1,0,1,24,501,0.0,1,700.0,0,0
186,24,0,3,19,0,31,12,0,3,180,1,1,0,1,36,254,0.0,1,255.0,0,1
187,19,1,4,53,1,31,23,0,3,84,1,1,1,1,12,205,0.0,1,420.0,0,0
188,25,1,0,27,1,31,3,0,1,60,1,1,1,1,108,863,1800.0,1,1300.0,0,0
189,25,1,3,37,1,31,8,0,3,360,1,1,1,1,60,205,0.0,1,550.0,0,0
190,22,1,2,35,0,50,20,0,3,36,1,1,1,1,48,26,0.0,1,241.0,0,0
191,17,0,0,39,1,31,25,0,3,72,1,1,1,1,72,999,0.0,1,340.0,0,0
192,25,1,0,43,1,31,8,0,0,36,1,1,0,1,12,992,0.0,1,570.0,0,0
193,22,0,0,20,0,50,28,0,3,240,1,1,0,1,24,508,0.0,1,650.0,0,1
194,16,1,2,36,1,31,25,0,3,12,1,1,0,1,0,999,0.0,1,0.0,0,0
195,22,1,0,26,0,31,20,0,3,36,1,1,0,1,12,165,0.0,1,180.0,0,0
196,3,0,2,24,1,31,12,0,3,72,1,0,0,1,60,706,0.0,1,480.0,0,1
197,1,1,3,24,1,31,8,0,3,60,1,1,1,1,12,264,0.0,0,203.0,0,1
198,22,0,0,40,1,31,12,0,0,12,1,0,0,1,168,514,0.0,1,1064.0,1,0
199,2,1,3,20,1,31,3,0,3,156,1,1,1,1,12,26,0.0,1,235.0,0,1
200,23,1,3,43,1,31,28,0,3,60,1,1,1,1,36,110,0.0,1,350.0,0,0
201,24,0,3,21,1,31,8,0,0,24,1,0,0,1,12,999,0.0,1,309.0,0,0
202,22,1,3,34,1,31,8,0,3,240,1,1,0,1,60,950,0.0,1,800.0,0,0
203,11,0,3,18,1,31,9,0,0,12,1,1,1,1,12,63,0.0,0,256.0,0,0
204,55,1,4,23,1,31,28,0,0,0,1,1,0,1,36,703,0.0,1,399.0,0,1
205,25,1,3,37,1,31,18,0,1,336,1,1,1,1,48,905,0.0,1,1042.0,0,0
206,16,1,0,28,1,31,12,0,3,12,1,1,0,1,12,222,0.0,1,546.0,1,0
207,16,1,0,56,1,31,1,0,3,144,1,1,0,1,0,999,0.0,1,400.0,0,0
208,16,1,4,41,1,31,23,0,3,360,1,1,0,1,0,703,0.0,1,445.0,0,0
209,11,0,3,29,1,31,3,0,2,12,1,1,1,1,24,999,0.0,1,530.0,0,0
210,25,1,1,54,1,31,12,0,3,372,1,0,0,1,60,703,0.0,1,340.0,0,0
211,19,1,3,31,1,31,12,0,3,240,1,1,1,1,72,999,0.0,1,1230.0,0,0
212,2,0,3,20,1,31,28,0,1,252,1,1,1,1,0,213,0.0,1,239.0,0,0
213,5,1,3,18,0,50,18,0,1,48,1,1,0,1,0,251,0.0,1,200.0,0,0
214,22,0,0,39,0,50,12,0,3,240,1,1,0,1,180,999,0.0,1,1000.0,0,0
215,10,1,0,44,1,31,8,0,3,48,1,1,1,1,288,713,0.0,1,1223.0,2,0
216,25,0,3,30,1,50,12,0,1,96,1,1,0,1,144,514,0.0,1,863.0,0,1
217,55,0,2,34,1,31,12,0,3,324,1,1,0,1,24,26,0.0,1,280.0,0,0
218,25,0,3,21,1,50,18,0,1,36,1,1,1,1,24,218,0.0,1,247.0,0,0
219,12,1,3,39,0,31,8,0,0,48,1,1,1,1,36,205,0.0,1,300.0,0,0
220,66,0,3,20,1,31,16,0,3,240,1,1,1,1,12,999,0.0,1,450.0,0,0
221,25,0,0,47,1,31,12,0,3,180,1,1,1,1,84,202,0.0,1,1000.0,0,0
222,24,1,3,21,0,50,12,0,3,12,1,1,0,1,12,703,0.0,1,700.0,0,1
223,15,1,1,45,1,31,20,0,3,276,1,0,1,1,12,205,0.0,1,203.0,0,0
224,19,1,0,58,1,31,28,0,3,276,1,1,0,1,0,999,0.0,1,300.0,0,0
225,24,0,0,42,0,31,20,0,3,168,1,1,0,1,12,202,0.0,1,480.0,0,0
226,12,0,0,53,1,31,8,0,3,336,1,1,0,1,0,13,0.0,1,1040.0,0,1
227,5,0,3,18,1,23,18,0,1,24,1,1,0,1,0,999,0.0,1,200.0,0,0
228,23,1,3,19,1,31,28,0,0,228,1,1,0,1,12,999,0.0,1,600.0,0,1
229,1,0,0,36,1,50,8,0,3,108,1,1,1,1,12,707,0.0,1,204.0,0,1
230,25,1,0,42,1,31,20,0,3,276,1,1,1,1,0,205,0.0,1,180.0,0,0
231,10,1,0,41,1,31,12,3,3,204,1,1,0,1,0,123,0.0,1,300.0,0,0
232,16,0,0,24,1,31,8,0,3,168,1,1,1,1,48,26,0.0,1,321.0,0,0
233,11,1,0,28,1,31,20,0,3,36,1,1,1,1,12,40,0.0,1,900.0,0,0
234,25,1,3,23,1,31,12,0,1,276,1,1,0,1,0,999,0.0,1,0.0,0,0
235,55,1,2,38,1,31,12,0,0,12,1,1,0,1,0,205,0.0,1,360.0,0,0
236,25,1,3,35,1,31,12,0,3,48,1,1,0,1,24,26,0.0,1,390.0,0,0
237,15,1,0,30,1,31,8,0,3,36,1,1,1,1,24,35,0.0,1,1300.0,1,0
238,4,1,3,22,1,50,11,0,1,12,1,1,1,1,12,40,0.0,1,220.0,0,0
239,20,1,3,41,1,31,1,0,1,36,1,1,1,1,24,38,0.0,1,559.0,0,0
240,11,1,0,36,1,31,18,0,0,108,1,1,1,1,12,34,0.0,1,1220.0,0,0
241,3,1,0,26,0,50,20,0,3,24,1,1,0,1,24,728,0.0,0,3000.0,0,0
242,25,1,3,33,1,50,25,0,3,60,1,1,1,1,12,26,0.0,1,340.0,0,1
243,55,1,3,24,1,31,8,0,0,24,1,1,1,1,12,61,0.0,1,200.0,0,1
244,22,1,0,39,1,31,28,0,3,360,1,1,0,1,0,999,0.0,1,180.0,0,0
245,24,1,1,60,1,31,20,0,3,72,1,1,0,1,48,13,0.0,1,1909.0,0,0
246,96,1,3,38,1,31,8,0,3,12,1,1,0,1,0,13,0.0,1,350.0,0,0
247,25,0,3,18,1,31,1,0,3,180,1,1,1,1,12,24,0.0,1,360.0,0,0
248,10,1,0,46,1,50,20,0,3,120,1,1,1,1,252,999,0.0,1,3000.0,1,0
249,22,1,3,17,1,31,28,0,3,36,1,1,0,1,12,801,0.0,1,180.0,0,0
250,12,0,3,19,0,31,28,0,1,24,1,1,0,1,0,702,0.0,1,300.0,0,1
251,22,1,0,38,1,31,12,0,3,480,1,1,1,1,0,999,0.0,1,180.0,0,0
252,24,1,4,48,1,31,18,0,0,24,1,1,1,1,156,999,0.0,1,640.0,0,0
253,15,1,0,39,1,33,20,0,3,204,1,1,1,1,24,305,0.0,1,1285.0,2,0
254,25,1,3,55,1,31,12,0,2,48,1,1,0,1,48,205,0.0,1,240.0,0,0
255,6,1,0,51,0,50,18,0,3,612,1,1,1,1,264,132,450.0,1,630.0,0,0
256,19,1,4,52,1,31,8,0,3,204,1,1,0,1,0,168,0.0,1,387.0,0,0
257,22,1,2,42,0,31,28,0,3,240,1,1,0,1,24,950,0.0,1,550.0,0,0
258,55,0,3,38,1,31,20,0,2,48,1,1,0,1,48,40,0.0,1,870.0,0,0
259,15,1,3,22,1,31,18,0,3,264,1,1,1,1,60,999,0.0,1,500.0,0,0
260,24,0,3,21,1,31,8,0,0,12,1,1,1,1,24,514,0.0,1,714.0,0,0
261,1,0,0,28,1,31,20,0,3,24,1,1,0,1,12,801,0.0,1,510.0,0,0
262,15,1,3,71,1,31,25,0,3,540,1,1,0,1,12,13,0.0,1,180.0,0,0
263,20,0,3,18,1,31,12,0,3,216,1,1,0,1,12,514,0.0,1,610.0,1,0
264,25,1,3,23,1,31,12,0,3,276,1,1,1,1,12,26,0.0,1,200.0,0,0
265,9,1,3,18,1,5,8,0,3,120,1,1,0,1,24,999,0.0,1,322.0,0,0
266,10,0,0,33,1,31,18,0,3,360,1,1,0,1,108,158,0.0,1,560.0,0,0
267,9,1,3,16,0,5,12,0,3,168,1,1,0,1,0,853,0.0,1,227.0,0,0
268,25,1,0,19,1,31,1,0,3,12,1,1,0,1,12,302,0.0,1,200.0,0,0
269,55,1,0,38,1,50,25,0,3,60,1,1,0,1,60,166,1500.0,1,300.0,0,0
270,17,0,3,18,0,50,8,0,1,228,1,1,0,1,12,514,0.0,1,152.0,0,1
271,12,1,3,22,1,31,28,0,3,24,1,1,0,1,0,165,0.0,1,600.0,0,0
272,20,1,1,47,1,31,12,0,3,336,1,1,1,1,120,717,0.0,1,1500.0,0,0
273,19,0,3,28,0,50,20,0,3,336,1,1,1,1,96,60,0.0,1,180.0,0,0
274,24,1,3,56,1,31,8,0,2,384,1,1,1,1,24,853,0.0,1,480.0,0,0
275,23,1,0,52,1,31,25,0,0,12,1,1,0,1,120,402,0.0,1,1500.0,1,1
276,55,1,2,48,1,50,12,0,3,180,1,1,1,1,0,801,0.0,1,220.0,0,0
